repository_name,state,triage_state,created_at,expiration_date,severity,remediation_window,rule_name
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-06-13,high,30,javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-06-13,high,30,javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-06-13,high,30,javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-06-13,high,30,javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-06-13,high,30,javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-06-13,high,30,javascript.sequelize.security.audit.sequelize-injection-express.express-sequelize-injection
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,html.security.audit.missing-integrity.missing-integrity
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,html.security.audit.missing-integrity.missing-integrity
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,html.security.audit.missing-integrity.missing-integrity
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.axios.hardcoded-basic-token.hardcoded-basic-token
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.axios.hardcoded-basic-token.hardcoded-basic-token
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.browser.security.eval-detected.eval-detected
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.browser.security.eval-detected.eval-detected
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.express-fs-filename.express-fs-filename
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.express-fs-filename.express-fs-filename
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.express-fs-filename.express-fs-filename
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.express-fs-filename.express-fs-filename
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.express-fs-filename.express-fs-filename
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.express-fs-filename.express-fs-filename
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.open-redirect-deepsemgrep.open-redirect-deepsemgrep
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.request.ssrf-deepsemgrep.ssrf-deepsemgrep
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.security.audit.express-check-directory-listing.express-check-directory-listing
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.security.audit.express-check-directory-listing.express-check-directory-listing
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.security.audit.express-check-directory-listing.express-check-directory-listing
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.security.audit.express-detect-notevil-usage.express-detect-notevil-usage
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.security.audit.express-libxml-vm-noent.express-libxml-vm-noent
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.security.audit.express-open-redirect.express-open-redirect
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.security.audit.express-path-join-resolve-traversal.express-path-join-resolve-traversal
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.security.audit.express-path-join-resolve-traversal.express-path-join-resolve-traversal
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.security.audit.express-path-join-resolve-traversal.express-path-join-resolve-traversal
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.security.audit.express-path-join-resolve-traversal.express-path-join-resolve-traversal
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.security.audit.express-path-join-resolve-traversal.express-path-join-resolve-traversal
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.security.audit.express-res-sendfile.express-res-sendfile
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.security.audit.express-res-sendfile.express-res-sendfile
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.security.audit.express-res-sendfile.express-res-sendfile
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.security.audit.express-res-sendfile.express-res-sendfile
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.security.audit.express-ssrf.express-ssrf
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.security.audit.xss.pug.explicit-unescape.template-explicit-unescape
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.security.express-insecure-template-usage.express-insecure-template-usage
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.express.session-fixation.session-fixation
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.jsonwebtoken.security.jwt-hardcode.hardcoded-jwt-secret
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.jssha.jssha-sha1.jssha-sha1
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp
kufta-test/juice-shop,unresolved,untriaged,2024-05-14,2024-07-13,medium,60,javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp
